Date,Ventilators - Total Capacity,Ventilators in Use - Total,Ventilators in Use - COVID-19,Ventilators in Use - COVID-19 Patients,Ventilators in Use - COVID-19 PUI,Ventilators in Use - Non-COVID-19,Ventilators Available - Total,Ventilators Available - Hospital,Ventilators Available - EAMC Cache,Ventilator Surge Capacity,ICU Beds - Total Capacity,ICU Beds - Adult,ICU Beds - Pediatric,ICU Beds in Use - Total,ICU Beds in Use - COVID-19,ICU Beds in Use - COVID-19 Patients,ICU Beds in Use - COVID-19 PUI,ICU Beds in Use - Non-COVID-19,ICU Beds Available - Total,ICU Beds Available - Adult,ICU Beds Available - Pediatric,ICU Beds Surge Capacity - Adult,ICU Beds Surge Capacity - Pediatric,Acute Non-ICE Beds - Total Capacity,Acute Non-ICU Beds in Use - Total,Acute Non-ICU Beds in Use - COVID-19,Acute Non-ICU Beds in Use - COVID-19 Patients,Acute Non-ICU Beds in Use - COVID-19 PUI,Acute Non-ICU Beds in Use- Non-COVID-19,Acute Non-ICU Beds Available - Total,Combined Hospital Beds in Use - COVID-19,Daily Update PDF
04/07/2021,"1,979",663,,,,,"1,316","1,266",50,,"1,220","1,042",178,944,,,,,276,220,56,,,"7,638","5,987",,,,,"1,651",,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2021.04.08_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/09/2020,"1,265",652,306,251,55,346,613,563,50,266,"1,101",887,214,853,460,364,96,393,248,173,75,153,30,"7,182","5,343","1,000",,,"4,343","1,839","1,460",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.10_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/10/2020,"1,291",626,313,269,44,313,665,615,50,297,"1,164",950,214,893,450,361,89,443,271,215,56,151,32,"7,243","5,246",972,,,"4,274","1,997","1,422",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.11_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/11/2020,"1,321",714,316,275,41,398,607,557,50,291,"1,164",950,214,908,477,391,86,431,256,199,57,133,40,"7,236","5,384",978,,,"4,406","1,852","1,455",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.12_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/12/2020,"1,335",638,316,264,52,322,697,647,50,252,"1,161",947,214,880,426,344,82,454,281,198,83,112,35,"7,268","5,497","1,032",,,"4,465","1,771","1,458",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.13_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/13/2020,"1,341",658,325,270,55,333,683,633,50,322,"1,158",944,214,838,446,375,71,392,320,224,96,131,24,"7,286","5,627","1,050",,,"4,577","1,659","1,496",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.14_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/14/2020,"1,418",733,318,265,53,415,685,635,50,260,"1,160",946,214,919,462,377,85,457,241,191,50,207,24,"7,286","5,536","1,119",,,"4,417","1,750","1,581",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.15_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/15/2020,"1,425",686,331,290,41,355,739,689,50,310,"1,160",946,214,879,482,410,72,397,281,222,59,142,24,"7,286","5,385","1,082",,,"4,303","1,901","1,564",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.16_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/16/2020,"1,403",671,331,296,35,340,732,682,50,314,"1,160",946,214,864,465,401,64,399,296,212,84,138,38,"7,286","5,194","1,138",,,"4,056","2,092","1,603",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.17_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/17/2020,"1,419",712,313,276,37,399,707,657,50,321,"1,160",946,214,871,473,411,62,398,289,207,82,149,35,"7,369","5,329","1,053",,,"4,276","2,040","1,526",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.18_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/18/2020,"1,409",725,315,278,37,410,684,634,50,244,"1,160",946,214,924,465,400,65,459,236,175,61,121,35,"7,369","5,605","1,008",,,"4,597","1,764","1,473",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.19_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/19/2020,"1,409",732,323,289,34,409,677,627,50,238,"1,160",946,214,905,486,399,87,419,255,190,65,119,6,"7,369","5,524","1,128",,,"4,396","1,845","1,614",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.20_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/20/2020,"1,400",745,349,307,42,396,655,605,50,272,"1,160",946,214,918,472,399,73,446,242,182,60,123,24,"7,368","5,529","1,228",,,"4,301","1,839","1,700",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.21_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/21/2020,"1,420",741,314,283,31,427,679,629,50,236,"1,160",946,214,900,477,401,76,423,260,176,84,115,24,"7,368","5,502","1,191",,,"4,311","1,866","1,668",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.22_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/22/2020,"1,413",770,328,290,38,442,643,593,50,254,"1,160",946,214,943,499,416,83,444,217,160,57,130,25,"7,368","5,719","1,292",,,"4,427","1,649","1,791",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.23_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/23/2020,"1,395",700,281,238,43,419,695,645,50,264,"1,187",973,214,933,475,390,85,458,254,178,76,116,36,"7,410","5,569","1,228",,,"4,341","1,841","1,703",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.24_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/24/2020,"1,756",311,335,292,43,-24,"1,445","1,395",50,377,"1,330","1,116",214,"1,095",482,396,86,613,235,178,57,151,25,"7,508","5,653","1,210",,,"4,443","1,855","1,692",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.25_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/25/2020,"1,684",419,323,285,38,96,"1,265","1,215",50,326,"1,366","1,152",214,"1,092",508,422,86,584,274,202,72,121,39,"7,502","5,598","1,111",,,"4,487","1,904","1,619",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.26_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/26/2020,"1,778",840,341,305,36,499,938,888,50,368,"1,366","1,152",214,"1,118",524,437,87,594,248,175,73,115,24,"7,528","5,620","1,161",,,"4,459","1,908","1,685",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.27_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/27/2020,"1,943",995,345,312,33,650,948,898,50,306,"1,379","1,165",214,"1,126",502,441,61,624,253,187,66,136,24,"7,540","5,791","1,150",,,"4,641","1,749","1,652",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.28_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
